                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.0654,                 1.3871,                 1.0579,                 0.5147,                0.18439,                0.27352,                0.16667,                 1.5922,                 2.8811,                 1.4422,              5.051e-05,              5.051e-05,              5.051e-05
                     78,                 1.0942,                  1.333,                 1.0702,                 0.5467,                0.18635,                0.27343,                0.16989,                 1.5779,                 2.8927,                 1.4431,             4.8491e-05,             4.8491e-05,             4.8491e-05
                     79,                 1.0822,                 1.3418,                 1.0522,                0.49624,                 0.1719,                0.25771,                 0.1544,                 1.5598,                 2.8812,                 1.4322,             4.6471e-05,             4.6471e-05,             4.6471e-05
                     80,                  1.069,                 1.3106,                 1.0632,                0.49543,                0.16622,                0.25786,                0.15612,                 1.5416,                 2.9151,                 1.4253,             4.4452e-05,             4.4452e-05,             4.4452e-05
                     81,                 1.1053,                  1.303,                 1.0687,                0.49162,                0.16305,                0.25793,                0.15354,                 1.5567,                 2.9451,                 1.4228,             4.2432e-05,             4.2432e-05,             4.2432e-05
                     82,                 1.1055,                   1.34,                  1.057,                0.49451,                0.17098,                0.25536,                0.14984,                 1.5572,                  2.911,                  1.418,             4.0412e-05,             4.0412e-05,             4.0412e-05
                     83,                 1.0744,                 1.2895,                 1.0498,                 0.5442,                0.18584,                0.26141,                0.15384,                 1.5606,                 2.8947,                 1.4245,             3.8393e-05,             3.8393e-05,             3.8393e-05
                     84,                 1.1198,                 1.3345,                 1.0682,                0.52671,                0.18117,                0.24971,                0.15084,                 1.5599,                 2.8854,                 1.4263,             3.6373e-05,             3.6373e-05,             3.6373e-05
                     85,                 1.1142,                 1.3324,                 1.0737,                0.52307,                0.16721,                0.24089,                0.14874,                 1.5741,                 2.8843,                 1.4316,             3.4354e-05,             3.4354e-05,             3.4354e-05
                     86,                0.99954,                 1.2744,                 1.0476,                0.52055,                0.17059,                0.23847,                  0.147,                 1.5821,                 2.8455,                 1.4399,             3.2334e-05,             3.2334e-05,             3.2334e-05
                     87,                 1.0789,                 1.2801,                 1.0591,                0.52546,                0.16808,                0.23655,                0.14681,                 1.5721,                 2.8734,                 1.4367,             3.0314e-05,             3.0314e-05,             3.0314e-05
                     88,                 1.0906,                 1.3145,                  1.048,                0.52073,                0.15512,                0.22957,                0.14535,                  1.566,                  2.899,                 1.4272,             2.8295e-05,             2.8295e-05,             2.8295e-05
                     89,                 1.0833,                 1.2864,                 1.0562,                0.34887,                0.19163,                0.22721,                0.14357,                 1.5591,                 2.9013,                 1.4218,             2.6275e-05,             2.6275e-05,             2.6275e-05
                     90,                 1.0215,                 1.3247,                  1.056,                0.36434,                0.21673,                0.22597,                0.14341,                 1.5559,                 2.8879,                 1.4269,             2.4256e-05,             2.4256e-05,             2.4256e-05
                     91,                 1.0106,                 1.3166,                0.99881,                0.49402,                0.17337,                0.23308,                0.14078,                 1.5943,                 2.8341,                 1.4514,             2.2236e-05,             2.2236e-05,             2.2236e-05
                     92,                0.96159,                 1.2166,                0.99794,                 0.4953,                0.18867,                0.24433,                0.14029,                 1.6093,                 2.8334,                 1.4648,             2.0216e-05,             2.0216e-05,             2.0216e-05
                     93,                0.98433,                 1.1421,                 1.0037,                0.50015,                0.18236,                0.24473,                0.13954,                 1.6014,                 2.8792,                  1.466,             1.8197e-05,             1.8197e-05,             1.8197e-05
                     94,                0.97643,                 1.1401,                0.99413,                0.49357,                 0.1678,                0.24184,                0.13875,                 1.5777,                 2.9061,                 1.4569,             1.6177e-05,             1.6177e-05,             1.6177e-05
                     95,                0.98346,                 1.1822,                 1.0018,                0.52021,                0.16515,                0.24239,                0.13967,                 1.5653,                 2.9096,                  1.452,             1.4158e-05,             1.4158e-05,             1.4158e-05
                     96,                0.98255,                 1.1648,                0.99813,                0.43447,                0.20369,                0.25186,                0.13886,                 1.5604,                 2.8718,                 1.4442,             1.2138e-05,             1.2138e-05,             1.2138e-05
                     97,                0.96953,                 1.1843,                0.98603,                0.42613,                0.17405,                0.25964,                0.14182,                 1.5697,                 2.8426,                 1.4422,             1.0118e-05,             1.0118e-05,             1.0118e-05
                     98,                 1.0033,                 1.1633,                0.99061,                0.49935,                0.19087,                0.27418,                0.15013,                 1.5627,                 2.8201,                 1.4384,             8.0988e-06,             8.0988e-06,             8.0988e-06
                     99,                0.98407,                 1.1363,                 0.9988,                 0.5221,                0.21571,                0.27599,                0.15169,                 1.5609,                 2.8143,                 1.4352,             6.0792e-06,             6.0792e-06,             6.0792e-06
                    100,                0.97727,                 1.1419,                0.99702,                0.51702,                0.21084,                0.27201,                0.15271,                 1.5566,                 2.8009,                 1.4322,             4.0596e-06,             4.0596e-06,             4.0596e-06
